,Product Name,RAM & ROM,Display,Camera,Battery,Warrenty,Price,Rating
55,"SAMSUNG Galaxy A33 (Awesome Blue, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Li-ion Battery,Exynos 1280 Processor,"₹26,999","<div class=""_3LWZlK"">3.9<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
56,"SAMSUNG Galaxy A33 (Awesome Black, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Li-ion Battery,Exynos 1280 Processor,"₹26,999","<div class=""_3LWZlK"">3.9<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
57,"SAMSUNG Galaxy A33 (Awesome Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Li-ion Battery,Exynos 1280 Processor,"₹25,499","<div class=""_3LWZlK"">3.7<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
58,"SAMSUNG Galaxy A73 5G (Awesome Mint, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) Full HD+ Display,108MP + 12MP + 5MP + 5MP | 32MP Front Camera,5000 mAh Li-ion Battery,Qualcomm Snapdragon 778G Processor,"₹44,999","<div class=""_3LWZlK"">4.4<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
59,"SAMSUNG Galaxy A73 5G (Awesome Gray, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) Full HD+ Display,108MP + 12MP + 5MP + 5MP | 32MP Front Camera,5000 mAh Li-ion Battery,Qualcomm Snapdragon 778G Processor,"₹41,999","<div class=""_3LWZlK"">4.4<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
60,"SAMSUNG Galaxy A33 (Awesome Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Li-ion Battery,Exynos 1280 Processor,"₹25,499","<div class=""_3LWZlK"">3.7<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
61,"SAMSUNG Galaxy A73 5G (Awesome Mint, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) Full HD+ Display,108MP + 12MP + 5MP + 5MP | 32MP Front Camera,5000 mAh Li-ion Battery,Qualcomm Snapdragon 778G Processor,"₹41,999","<div class=""_3LWZlK"">4.4<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
62,"SAMSUNG Galaxy S21 FE 5G (Olive, 128 GB)",8 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Display,32MP Rear Camera,4500 mAh Battery,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"₹50,990","<div class=""_3LWZlK"">3.3<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
63,"SAMSUNG Galaxy A13 (Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium Ion Battery,Exynos Octa Core Processor,"₹17,499","<div class=""_3LWZlK"">3.4<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
64,"SAMSUNG Galaxy A13 (Black, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium Ion Battery,Exynos Octa Core Processor,"₹15,999","<div class=""_3LWZlK"">4.3<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
65,"SAMSUNG Galaxy A23 (Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Li-Ion Battery,Octa-core(EXYNOS) Processor,"₹18,499","<div class=""_3LWZlK"">3.7<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
66,"SAMSUNG Galaxy A23 (Peach, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Li-Ion Battery,Octa-core(EXYNOS) Processor,"₹18,499","<div class=""_3LWZlK"">3.7<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
67,"SAMSUNG Galaxy A53 (Awesome Peach, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,5000 mAh Lithium Ion Battery,Exynos Octa Core Processor Processor,"₹31,499","<div class=""_3LWZlK"">3.9<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
68,"SAMSUNG Galaxy A23 (Blue, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Li-Ion Battery,Octa-core(EXYNOS) Processor,"₹19,999","<div class=""_3LWZlK"">4.3<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
69,"SAMSUNG Galaxy A13 (Peach, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 5MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium Ion Battery,Exynos Octa Core Processor,"₹14,999","<div class=""_3LWZlK"">4.3<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
70,"SAMSUNG Galaxy A23 (Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Li-Ion Battery,Octa-core(EXYNOS) Processor,"₹18,499","<div class=""_3LWZlK"">3.7<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
71,"SAMSUNG Galaxy A53 (Awesome White, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,5000 mAh Lithium Ion Battery,Exynos Octa Core Processor Processor,"₹32,999","<div class=""_3LWZlK"">3.9<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
72,"SAMSUNG Galaxy S21 FE 5G (White, 128 GB)",8 GB RAM | 128 GB ROM,16.26 cm (6.4 inch) Display,12MP Rear Camera,4500 mAh Battery,12 Months,"₹50,990","<div class=""_3LWZlK"">3.3<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
73,"SAMSUNG Galaxy S20 FE (Cloud Navy, 256 GB)",8 GB RAM | 256 GB ROM,16.51 cm (6.5 inch) Display,12MP Rear Camera,4500 mAh Battery,12 months,"₹37,999","<div class=""_3LWZlK"">4<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
74,"SAMSUNG S20 FE 5G (Cloud Lavender, 128 GB)",8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Display,32MP Rear Camera,4500 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"₹35,989","<div class=""_3LWZlK"">4.2<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
75,"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)",6 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery,12 months,"₹16,250","<div class=""_3LWZlK"">4.1<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
76,"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)",8 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery,12 months,"₹21,499",
77,"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)",6 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery,12 months,"₹16,207","<div class=""_3LWZlK"">4.1<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
78,"SAMSUNG Galaxy M33 5G (Mystique Green, 128 GB)",8 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery,12 months,"₹21,499",
79,"SAMSUNG Galaxy A33 (Awesome Blue, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Li-ion Battery,Exynos 1280 Processor,"₹26,999","<div class=""_3LWZlK"">3.9<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
80,"SAMSUNG Galaxy A33 (Awesome Black, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Li-ion Battery,Exynos 1280 Processor,"₹26,999","<div class=""_3LWZlK"">3.9<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
81,"SAMSUNG Galaxy A33 (Awesome Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Li-ion Battery,Exynos 1280 Processor,"₹25,499","<div class=""_3LWZlK"">3.7<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
82,"SAMSUNG Galaxy A73 5G (Awesome Mint, 256 GB)",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) Full HD+ Display,108MP + 12MP + 5MP + 5MP | 32MP Front Camera,5000 mAh Li-ion Battery,Qualcomm Snapdragon 778G Processor,"₹44,999","<div class=""_3LWZlK"">4.4<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
83,"SAMSUNG Galaxy A73 5G (Awesome Gray, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) Full HD+ Display,108MP + 12MP + 5MP + 5MP | 32MP Front Camera,5000 mAh Li-ion Battery,Qualcomm Snapdragon 778G Processor,"₹41,999","<div class=""_3LWZlK"">4.4<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/></div>"
